dyadid,location,sideb,gtd_gname,gname_match,coder,type,sidea,gwnoa,startyear,startyear2,finalyear,source,notes,crosswalk,notmissing,conflictid,sideb_gtd_additional,notes_sideb_gtd_id,mar_notes,vpfcomments913,rfm_notes,actorissue
1,Algeria,AIS,Movement of the Islamic State (MEI),-96,Fortna,3,Government of Algeria,615,1985,1992,1997,other,"former FIS head of security creates MEI in 1992. MEI and MIA affiliated (both distinct from GIA). In 1994, MEI and MIA along with other groups united as Islamic Salvation Army (term previously used for FIS-loyal fighters) & declare allegiance to FIS.   http://en.wikipedia.org/wiki/Algerian_Civil_War; deRouen & Heo eds describe MEI as part of movement with more jihadist, overthrow the state goals, but AIS as part of movement to reestablish political process thru which FIS was gaining power.",0,NA,,,,,,,
1,Algeria,AIS,Muslim Fundamentalists,5,Fortna,3,Government of Algeria,615,1985,1992,1997,,,0,NA,,,,,,,
1,Algeria,AIS,Muslim Guerrillas,5,Fortna,3,Government of Algeria,615,1985,1992,1997,,,0,NA,,,,,,,
1,Algeria,AIS,Muslim Militants,5,Fortna,3,Government of Algeria,615,1985,1992,1997,,,0,NA,,,,,,,
1,Algeria,AIS,Muslim Rebels,5,Fortna,3,Government of Algeria,615,1985,1992,1997,,,0,NA,,,,,,,
1,Algeria,AIS,Neo-Nazi Group,12,Fortna,3,Government of Algeria,615,1985,1992,1997,,,0,NA,,,,,,,
1,Algeria,AIS,Students,12,Fortna,3,Government of Algeria,615,1985,1992,1997,,AIS not a student movement,0,NA,,,,,,,
1,Algeria,AIS,Tayeb Al-Afghani's Islamist Group,10,Fortna,3,Government of Algeria,615,1985,1992,1997,other,"dyad 3 ""One of the GIA's early leaders was Tayeb al Afghani"" http://www.habluetzel.com/terrorist-groups.htm",0,NA,,,,,,,
1,Algeria,AIS,Tuaregs,12,Fortna,3,Government of Algeria,615,1985,1992,1997,,no ref to Tuaregs in accounts of AIS,0,NA,,,,,,,
1,Algeria,AIS,Unarmed Algerian,13,Fortna,3,Government of Algeria,615,1985,1992,1997,,so generic as to be unknown,0,NA,,,,,,,
1,Algeria,AIS,Union of Peaceful Citizens of Algeria,11,Fortna,3,Government of Algeria,615,1985,1992,1997,TOPS,,0,NA,,,,,,,
1,Algeria,AIS,Unknown,13,Fortna,3,Government of Algeria,615,1985,1992,1997,,,0,NA,,,,,,,
2,Algeria,Takfir wa'l Hijra,Abu Nidal Organization (ANO),11,Fortna,3,Government of Algeria,615,1990,1991,1991,TOPS,,0,NA,,,,,,,
2,Algeria,Takfir wa'l Hijra,Islamic Salvation Front (FIS),-96,Fortna,3,Government of Algeria,615,1990,1991,1991,"CGS, p.637","Takfir wa'l Hijra (Exile & Redemption) later joins FIS, only active on its own in 1991",0,NA,,,,,,,
2,Algeria,Takfir wa'l Hijra,Islamist Extremists,5,Fortna,3,Government of Algeria,615,1990,1991,1991,,,0,NA,,,,,,,
2,Algeria,Takfir wa'l Hijra,Kach,11,Fortna,3,Government of Algeria,615,1990,1991,1991,other,wikipedia -- far-right Israeli party,0,NA,,,,,,,
2,Algeria,Takfir wa'l Hijra,Muslim Fundamentalists,5,Fortna,3,Government of Algeria,615,1990,1991,1991,,,0,NA,,,,,,,
2,Algeria,Takfir wa'l Hijra,Muslim Militants,5,Fortna,3,Government of Algeria,615,1990,1991,1991,,,0,NA,,,,,,,
2,,Takfir wa'l Hijra,Takfir wal-Hijra (Excommunication and Exodus),0,,NA,Algeria,NA,1990,1991,1991,,,1,1,191,,,,"no link ID'd means no T activity, or GTD not paying attention?",,
2,Algeria,Takfir wa'l Hijra,Tayeb Al-Afghani's Islamist Group,10,Fortna,3,Government of Algeria,615,1990,1991,1991,other,"dyad 3 ""One of the GIA's early leaders was Tayeb al Afghani"" http://www.habluetzel.com/terrorist-groups.htm",0,NA,,,,,,,
2,Algeria,Takfir wa'l Hijra,Unknown,13,Fortna,3,Government of Algeria,615,1990,1991,1991,,,0,NA,,,,,,,
3,Algeria,GIA,Al-Adl Wal Ihsane,11,Fortna,3,Government of Algeria,615,1992,1993,2003,other,Wikipedia -- Moroccon group,0,NA,,,,,,,
3,Algeria,GIA,Algerian Islamic Extremists,5,Fortna,3,Government of Algeria,615,1992,1993,2003,,,0,NA,,,,,,,
3,Algeria,GIA,Algerian Moslem Fundamentalists,5,Fortna,3,Government of Algeria,615,1992,1993,2003,,,0,NA,,,,,,,
3,Algeria,GIA,Algerian Moujahideen for Moslems,-99,Fortna,3,Government of Algeria,615,1992,1993,2003,,generic term or specific group?,0,NA,,,,,,,
3,Algeria,GIA,Armata di Liberazione Naziunale (ALN),11,Fortna,3,Government of Algeria,615,1992,1993,2003,TOPS,Corsican T group,0,NA,,,,,,,
3,Algeria,GIA,Armed Islamic Group (GIA),0,Fortna,3,Government of Algeria,615,1992,1993,2003,d2013,,0,NA,,,,,,,
3,Algeria,GIA,Armed Islamic Movement,11,Fortna,3,Government of Algeria,615,1992,1993,2003,,"AIM (aka MIA) is connected to FIS, not GIA",0,NA,,,,,,,
3,Algeria,GIA,Armed People,13,Fortna,3,Government of Algeria,615,1992,1993,2003,,so generic as to be unknown,0,NA,,,,,,,
3,Algeria,GIA,Committee of Coordination,-99,Fortna,3,Government of Algeria,615,1992,1993,2003,,,0,NA,,,,,,,
3,Algeria,GIA,Draa El Mizan Seriat,-99,Fortna,3,Government of Algeria,615,1992,1993,2003,,Draa El Mizan is a town in Algeria,0,NA,,,,,,,
3,Algeria,GIA,Ed'daoua Es'salafia Lilqadha,-99,Fortna,3,Government of Algeria,615,1992,1993,2003,,,0,NA,,,,,,,
3,Algeria,GIA,Fundamentalists,5,Fortna,3,Government of Algeria,615,1992,1993,2003,,,0,NA,,,,,,,
3,Algeria,GIA,Gunmen,13,Fortna,3,Government of Algeria,615,1992,1993,2003,,so generic as to be unknown,0,NA,,,,,,,
3,Algeria,GIA,Habi's Er'roub seriat,-99,Fortna,3,Government of Algeria,615,1992,1993,2003,,,0,NA,,,,,,,
3,Algeria,GIA,Islam Liberation Front,-99,Fortna,3,Government of Algeria,615,1992,1993,2003,,,0,NA,,,,,,,
3,Algeria,GIA,Islamic Golden Army,-99,Fortna,3,Government of Algeria,615,1992,1993,2003,,,0,NA,,,,,,,
3,Algeria,GIA,Islamic Salvation Front (FIS),10,Fortna,3,Government of Algeria,615,1992,1993,2003,"CGS, p.636, UCDP","dyad 1: FIS is political wing, AIM & AIS are armed wings",0,NA,,,,,,,
3,Algeria,GIA,Islamist Extremists,5,Fortna,3,Government of Algeria,615,1992,1993,2003,,,0,NA,,,,,,,
3,Algeria,GIA,Jihad Islamic League Front,-99,Fortna,3,Government of Algeria,615,1992,1993,2003,,,0,NA,,,,,,,
3,Algeria,GIA,Kamal Boulander Group,-99,Fortna,3,Government of Algeria,615,1992,1993,2003,,,0,NA,,,,,,,
3,Algeria,GIA,Moslem Activists,5,Fortna,3,Government of Algeria,615,1992,1993,2003,,,0,NA,,,,,,,
3,Algeria,GIA,Movement of the Islamic State (MEI),8,Fortna,3,Government of Algeria,615,1992,1993,2003,other,"former FIS head of security creates MEI in 1992. MEI and MIA affiliated (both distinct from GIA). In 1994, MEI and MIA along with other groups united as Islamic Salvation Army (term previously used for FIS-loyal fighters) & declare allegiance to FIS.  http://en.wikipedia.org/wiki/Algerian_Civil_War. but deRouen & Heo describe MEI and GIA as part of same segment of Algerial conflict (jihadist, overthrow govt).  MEI & GIA ideologically connected but rival (according to a skimming of Luis Martinez, The Algerian Civil War 1990-1998, Columbia UP 1998)",0,NA,,,,,,,
3,Algeria,GIA,Muslim Extremists,5,Fortna,3,Government of Algeria,615,1992,1993,2003,,,0,NA,,,,,,,
3,Algeria,GIA,Muslim Fundamentalists,5,Fortna,3,Government of Algeria,615,1992,1993,2003,,,0,NA,,,,,,,
3,Algeria,GIA,Muslim Guerrillas,5,Fortna,3,Government of Algeria,615,1992,1993,2003,,,0,NA,,,,,,,
3,Algeria,GIA,Muslim Militants,5,Fortna,3,Government of Algeria,615,1992,1993,2003,,,0,NA,,,,,,,
3,Algeria,GIA,Muslim Rebels,5,Fortna,3,Government of Algeria,615,1992,1993,2003,,,0,NA,,,,,,,
3,Algeria,GIA,National Union for the Total Independence of Angola (UNITA),10,Fortna,3,Government of Algeria,615,1992,1993,2003,,dyad 7,0,NA,,,,,,,
3,Algeria,GIA,Neo-Nazi Group,12,Fortna,3,Government of Algeria,615,1992,1993,2003,,,0,NA,,,,,,,
3,Algeria,GIA,Other,13,Fortna,3,Government of Algeria,615,1992,1993,2003,,so generic as to be unknown,0,NA,,,,,,,
3,Algeria,GIA,Rebels,5,Fortna,3,Government of Algeria,615,1992,1993,2003,,,0,NA,,,,,,,
3,Algeria,GIA,Salafist Group for Preaching and Fighting (GSPC),10,Fortna,3,Government of Algeria,615,1992,1993,2003,,"dyad 4. GSPC splits from GIA in late 1990s, later allies with al-Qaida and changes its name to AQIM",0,NA,,,,,,,
3,Algeria,GIA,Squadrons of Terror (Katibat El Ahoual),-99,Fortna,3,Government of Algeria,615,1992,1993,2003,,,0,NA,,,,,,,
3,Algeria,GIA,Students,12,Fortna,3,Government of Algeria,615,1992,1993,2003,,GIA not a student movement,0,NA,,,,,,,
3,Algeria,GIA,Tuaregs,12,Fortna,3,Government of Algeria,615,1992,1993,2003,,no ref to Tuaregs in accounts of GIA,0,NA,,,,,,,
3,Algeria,GIA,Unarmed Algerian,13,Fortna,3,Government of Algeria,615,1992,1993,2003,,so generic as to be unknown,0,NA,,,,,,,
3,Algeria,GIA,Union of Peaceful Citizens of Algeria,11,Fortna,3,Government of Algeria,615,1992,1993,2003,TOPS,,0,NA,,,,,,,
3,Algeria,GIA,Unknown,13,Fortna,3,Government of Algeria,615,1992,1993,2003,,,0,NA,,,,,,,
3,Algeria,GIA,Zionist Resistance Fighters,12,Fortna,3,Government of Algeria,615,1992,1993,2003,,,0,NA,,,,,,,
4,Algeria,AQIM,Aibed Er-Rahman katibet,-99,Fortna,4,Government of Algeria,615,1998,1999,2012,,,0,NA,,,,,,,
4,Algeria,AQIM,Al-Qa`ida in Iraq,11,Fortna,4,Government of Algeria,615,1998,1999,2012,,in Iraq,0,NA,,,,,,,
4,Algeria,AQIM,Al-Qa`ida in the Lands of the Islamic Maghreb (AQLIM),0,Fortna,4,Government of Algeria,615,1998,1999,2012,"d2013, CGS, p.638",AQLIM is sometimes abbreviated AQIM (al-Qaida in the Maghreb).  See http://www.nctc.gov/site/groups/aqim.html,0,NA,,,,,,,
4,Algeria,AQIM,Algerian Islamic Extremists,5,Fortna,4,Government of Algeria,615,1998,1999,2012,,,0,NA,,,,,,,
4,Algeria,AQIM,Algerian Moslem Fundamentalists,5,Fortna,4,Government of Algeria,615,1998,1999,2012,,,0,NA,,,,,,,
4,Algeria,AQIM,Armata di Liberazione Naziunale (ALN),11,Fortna,4,Government of Algeria,615,1998,1999,2012,TOPS,Corsican T group (TOPS),0,NA,,,,,,,
4,Algeria,AQIM,Armed Islamic Group (GIA),10,Fortna,4,Government of Algeria,615,1998,1999,2012,,dyad 3,0,NA,,,,,,,
4,Algeria,AQIM,Armed People,13,Fortna,4,Government of Algeria,615,1998,1999,2012,,so generic as to be unknown,0,NA,,,,,,,
4,Algeria,AQIM,Draa El Mizan Seriat,-99,Fortna,4,Government of Algeria,615,1998,1999,2012,,,0,NA,,,,,,,
4,Algeria,AQIM,Ed'daoua Es'salafia Lilqadha,-99,Fortna,4,Government of Algeria,615,1998,1999,2012,,,0,NA,,,,,,,
4,Algeria,AQIM,El-Feth katibat,3,Fortna,4,Government of Algeria,615,1998,1999,2012,other,"reference to ""AQIM's El Feth katibat"" in news report suggests this is part (faction?) of AQIM: http://magharebia.com/en_GB/articles/awi/newsbriefs/general/2013/01/06/newsbrief-02",0,NA,,,,,,,
4,Algeria,AQIM,Extremists,5,Fortna,4,Government of Algeria,615,1998,1999,2012,,,0,NA,,,,,,,
4,Algeria,AQIM,Fundamentalists,5,Fortna,4,Government of Algeria,615,1998,1999,2012,,,0,NA,,,,,,,
4,Algeria,AQIM,Gunmen,13,Fortna,4,Government of Algeria,615,1998,1999,2012,,so generic as to be unknown,0,NA,,,,,,,
4,Algeria,AQIM,Habi's Er'roub seriat,-99,Fortna,4,Government of Algeria,615,1998,1999,2012,,,0,NA,,,,,,,
4,Algeria,AQIM,Insurgents,5,Fortna,4,Government of Algeria,615,1998,1999,2012,,,0,NA,,,,,,,
4,Algeria,AQIM,Islamist Extremists,5,Fortna,4,Government of Algeria,615,1998,1999,2012,,,0,NA,,,,,,,
4,Algeria,AQIM,Militants,5,Fortna,4,Government of Algeria,615,1998,1999,2012,,,0,NA,,,,,,,
4,Algeria,AQIM,Mouhajiroune Brigade,3,Fortna,4,Government of Algeria,615,1998,1999,2012,other,"reference to ""Al-Qaeda in the Islamic Maghreb's El Mouhajiroune brigadeÉ"" http://magharebia.com/en_GB/articles/awi/newsbriefs/general/2010/08/24/newsbrief-02",0,NA,,,,,,,
4,Algeria,AQIM,Movement for Oneness and Jihad in West Africa (MUJAO),10,Fortna,4,Government of Algeria,615,1998,1999,2012,,dyad 845,0,NA,,,,,,,
4,Algeria,AQIM,Muslim Extremists,5,Fortna,4,Government of Algeria,615,1998,1999,2012,,,0,NA,,,,,,,
4,Algeria,AQIM,Muslim Fundamentalists,5,Fortna,4,Government of Algeria,615,1998,1999,2012,,,0,NA,,,,,,,
4,Algeria,AQIM,Muslim Militants,5,Fortna,4,Government of Algeria,615,1998,1999,2012,,,0,NA,,,,,,,
4,Algeria,AQIM,Muslim Rebels,5,Fortna,4,Government of Algeria,615,1998,1999,2012,,,0,NA,,,,,,,
4,Algeria,AQIM,National Union for the Total Independence of Angola (UNITA),10,Fortna,4,Government of Algeria,615,1998,1999,2012,,dyad 7,0,NA,,,,,,,
4,Algeria,AQIM,Other,13,Fortna,4,Government of Algeria,615,1998,1999,2012,,so generic as to be unknown,0,NA,,,,,,,
4,Algeria,AQIM,Rebels,5,Fortna,4,Government of Algeria,615,1998,1999,2012,,,0,NA,,,,,,,
4,Algeria,AQIM,Salafi Daawa Group,-99,Fortna,4,Government of Algeria,615,1998,1999,2012,,,0,NA,,,,,,,
4,Algeria,AQIM,Salafist Group for Preaching and Fighting (GSPC),0,Fortna,4,Government of Algeria,615,1998,1999,2012,"d2013 CGS, p.638","GSPC splits from GIA in late 1990s, later allies with al-Qaida and changes its name to AQIM (in 2007 according to wikipedia)",0,NA,,,,,,,
4,Algeria,AQIM,Squadrons of Terror (Katibat El Ahoual),-99,Fortna,4,Government of Algeria,615,1998,1999,2012,,,0,NA,,,,,,,
4,Algeria,AQIM,Taliban,10,Fortna,4,Government of Algeria,615,1998,1999,2012,,dyad 327,0,NA,,,,,,,
4,Algeria,AQIM,Tuaregs,-97,Fortna,4,Government of Algeria,615,1998,1999,2012,,"AQIM not a Tuareg group, but possible connection btwn AQIM & Tuaregs in Mali: http://www.nctc.gov/site/groups/aqim.html",0,NA,,,,,,,
4,Algeria,AQIM,Unknown,13,Fortna,4,Government of Algeria,615,1998,1999,2012,,,0,NA,,,,,,,
4,Algeria,AQIM,Zionist Resistance Fighters,12,Fortna,4,Government of Algeria,615,1998,1999,2012,,,0,NA,,,,,,,
4,Algeria,AQIM,al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood),-96,radwan,4,Government of Algeria,615,NA,NA,NA,Other,"In December 2012, Belmokhtar announced he was leaving AQIM and headed his own organisation, dubbed the Al-Mulathameen (""Masked"") Brigade[11] (also known as the al-Mua'qi'oon Biddam (""Those who Sign with Blood"") Brigade) http://en.wikipedia.org/wiki/Mokhtar_Belmokhtar",0,NA,,,,,,,
7,Angola,UNITA,Angola Rebels,5,Miles,4,Government of Angola,540,1975,1975,2002,,,0,NA,,,,,,,
7,Angola,UNITA,Anti-Government Guerrillas,5,Miles,4,Government of Angola,540,1975,1975,2002,,,0,NA,,,,,,,
7,Angola,UNITA,Anti-Government Rebels,5,Miles,4,Government of Angola,540,1975,1975,2002,,,0,NA,,,,,,,
7,Angola,UNITA,Armed Islamic Group (GIA),10,Miles,4,Government of Angola,540,1975,1975,2002,D2013,"DyadID 3: SideB is GIA, in ConflictID 191 with Algeria.",0,NA,,,,,,,
7,Angola,UNITA,Bandits,13,Miles,4,Government of Angola,540,1975,1975,2002,,,0,NA,,,,,,,
7,Angola,UNITA,Front for the Liberation of Cabinda / Cabinda Armed Forces (FLEC-FAC),10,Miles,4,Government of Angola,540,1975,1975,2002,D2013,DyadID 190: SideB is FLEC-FAC.,0,NA,,,,,,,
7,Angola,UNITA,Front for the Liberation of the Enclave of Cabinda (FLEC),11,Miles,4,Government of Angola,540,1975,1975,2002,UCDP - Angola,"FLEC was a Cabinda separatist group formed in 1963 fighting for independence from Angola, first under Portugese rule then Angolan after 1975. Shortly after forming, FLEC split into several factions, the main two of which were FLEC-FAC and FLEC-R.  These factions continued to fight the Angolan government - and each other - over the course of the conflict.",0,NA,,,,,,,
7,Angola,UNITA,Gunmen,13,Miles,4,Government of Angola,540,1975,1975,2002,,,0,NA,,,,,,,
7,Angola,UNITA,Hutus,5,Miles,4,Government of Angola,540,1975,1975,2002,Other,"UNITA had support from Zaire leader Mobutu, a Hutu supporter.  http://www.nytimes.com/1997/04/28/world/zairian-rebel-takes-defiant-stance-on-refugees.html",0,NA,,,,,,,
7,Angola,UNITA,National Union for the Total Independence of Angola (UNITA),0,Miles,4,Government of Angola,540,1975,1975,2002,D2013,DyadID 7: SideB is UNITA.,0,NA,,,,,,,
7,Angola,UNITA,Omega-7,-99,Miles,4,Government of Angola,540,1975,1975,2002,TOPS,"Omega-7 was an anti-Castro group active between 1974-1983. Primarily targeted pro-Castro Cuban elements in the US. No evidence of engagement in Angola; however, may have supported UNITA since the MPLA was supported by the Cuban government.",0,NA,,,,,,,
7,Angola,UNITA,Other,13,Miles,4,Government of Angola,540,1975,1975,2002,,,0,NA,,,,,,,
7,Angola,UNITA,Popular Movement for the Liberation of Angola,10,Miles,4,Government of Angola,540,1975,1975,2002,UCDP - Angola,"DyadID 190, 191, 568, 7: SideA is Angola in ConflictIDs 131 and 192.  The Movement for the Popular Liberation of Angola (MPLA) was one of three groups fighting for independence from Portugal in the 1960s, together with UNITA and FNLA.  In 1975 Portugal agreed to hand over control to a transitional power-sharing government between the three groups; this quickly fell apart.  The MPLA succeeded in establishing a marxist, Soviet- and Cuban-supported government and continued to fight UNITA, FNLA, and the Cabinda groups for decades.  The SideA in this conflict, Angola, is the MPLA-dominated government.",0,NA,,,,,,,
7,Angola,UNITA,Popular Movement for the Liberation of Cabinda,11,Miles,4,Government of Angola,540,1975,1975,2002,UCDP - Angola,"The Movement for the Popular Liberation of Cabinda (MPLC) was a splinter faction of FLEC (separate from FLEC-FAC or FLEC-R).  As such, it was involved in a separate conflict with Angola, ConflictID 192.  See http://www.globalsecurity.org/military/world/para/flec.htm; http://www.aljazeera.com/news/africa/2010/01/2010194414660644.html",0,NA,,,,,,,
7,Angola,UNITA,The Front for the Liberation of the Cabinda Enclave – Renewed (FLEC),10,Miles,4,Government of Angola,540,1975,1975,2002,D2013,DyadID 191: SideB is FLEC-R,0,NA,,,,,,,
7,Angola,UNITA,Tutsi,5,Miles,4,Government of Angola,540,1975,1975,2002,Other,"Despite support from Hutu-leaning Zaire leader Mobutu, some members of UNITA reportedly fought with the Congolese Tutsis (Banyamulenge) under Kabila, Mobutu's rival.  See http://www.refworld.org/docid/469f388115.html; http://www.nytimes.com/1997/04/28/world/zairian-rebel-takes-defiant-stance-on-refugees.html",0,NA,,,,,,,
7,Angola,UNITA,Unknown,13,Miles,4,Government of Angola,540,1975,1975,2002,,,0,NA,,,,,,,
7,Angola,UNITA,War Veterans,5,Miles,4,Government of Angola,540,1975,1975,2002,,,0,NA,,,,,,,
11,Burundi,Palipehutu,Anti-Government Guerrillas,5,Rubin,3,Government of Burundi,516,1991,1991,1992,ucdp,,0,NA,,,,,,,
11,Burundi,Palipehutu,Party for the Liberation of the Hutu People (PALIPEHUTU),0,Rubin,3,Government of Burundi,516,1991,1991,1992,,,0,NA,,,,,,,
11,Burundi,Palipehutu,Tutsi,12,Rubin,3,Government of Burundi,516,1991,1991,1992,,,0,NA,,,,,,,
12,Burundi,CNDD,Hutus,5,Rubin,3,Government of Burundi,516,1994,1994,1998,ucdp,,0,NA,,,,,,,
12,Burundi,CNDD,National Council for Defense of Democracy (NCDD),0,Rubin,3,Government of Burundi,516,1994,1994,1998,,,0,NA,,,,,,,
12,Burundi,CNDD,Party for the Liberation of the Hutu People (PALIPEHUTU),10,Rubin,3,Government of Burundi,516,1994,1994,1998,,Dyad 11,0,NA,,,,,,,
12,Burundi,CNDD,Rwanda Patriotic Front (RPF),10,Rubin,3,Government of Burundi,516,1994,1994,1998,,Dyad 127,0,NA,,,,,,,
12,Burundi,CNDD,Tutsi,12,Rubin,3,Government of Burundi,516,1994,1994,1998,,,0,NA,,,,,,,
12,Burundi,CNDD,Unknown,13,Rubin,3,Government of Burundi,516,1994,1994,1998,,,0,NA,,,,,,,
13,Burundi,Frolina,Anti-Government Guerrillas,5,Rubin,3,Government of Burundi,516,1990,1997,1997,CGS,pg. 266,0,NA,,,,,,,
13,Burundi,Frolina,Hutus,5,Rubin,3,Government of Burundi,516,1990,1997,1997,ucdp,,0,NA,,,,,,,
13,Burundi,Frolina,National Council for Defense of Democracy (NCDD),10,Rubin,3,Government of Burundi,516,1990,1997,1997,ucdp,Dyad 14,0,NA,,,,,,,
13,,Frolina,National Liberation Front (FNL) (Burundi),0,,NA,Burundi,NA,1990,1997,1997,,,1,1,90,,FROLINA AKA National Liberation Front? Is this the same as the group that allied with Pal?,,"FNL is armed wing of Palipehutu.  Frolina, whose armed wing = FAP (Force Arm_es Poulaires) split off in 1990 & has been largely inactive, first large scale attacks in 1997.  so Frolina not = FNL",,
13,Burundi,Frolina,Party for the Liberation of the Hutu People (PALIPEHUTU),10,Rubin,3,Government of Burundi,516,1990,1997,1997,,Dyad 11,0,NA,,,,,,,
13,Burundi,Frolina,Rwanda Patriotic Front (RPF),10,Rubin,3,Government of Burundi,516,1990,1997,1997,,Dyad 127,0,NA,,,,,,,
13,Burundi,Frolina,Tutsi,12,Rubin,3,Government of Burundi,516,1990,1997,1997,,,0,NA,,,,,,,
13,Burundi,Frolina,Unknown,13,Rubin,3,Government of Burundi,516,1990,1997,1997,,,0,NA,,,,,,,
14,Burundi,CNDD-FDD,Forces for the Defense of Democracy (FDD),1,Fortna,3,Government of Burundi,516,1998,1998,2003,"ucdp; CGS, p. 268","both UCDP conflict encyclopedia (""hutu refugees organizing an oppostion"" and CGS describe CNDD-FDD as the armed wing of CNDD rather than as a splinter or rival.",0,NA,,,,,,,
14,Burundi,CNDD-FDD,Hutus,5,Rubin,3,Government of Burundi,516,1998,1998,2003,ucdp,,0,NA,,,,,,,
14,Burundi,CNDD-FDD,Lord's Resistance Army (LRA),10,Rubin,3,Government of Burundi,516,1998,1998,2003,ucdp,Dyad 151,0,NA,,,,,,,
14,Burundi,CNDD-FDD,Militia Members,5,Rubin,3,Government of Burundi,516,1998,1998,2003,,,0,NA,,,,,,,
14,Burundi,CNDD-FDD,National Council for Defense of Democracy (NCDD),1,Fortna,3,Government of Burundi,516,1998,1998,2003,"ucdp; CGS, p. 268","both UCDP conflict encyclopedia (""hutu refugees organizing an oppostion"" and CGS describe CNDD-FDD as the armed wing of CNDD rather than as a splinter or rival.",0,NA,,,,,,,
14,Burundi,CNDD-FDD,Other,13,Rubin,3,Government of Burundi,516,1998,1998,2003,,,0,NA,,,,,,,
14,Burundi,CNDD-FDD,Party for the Liberation of the Hutu People (PALIPEHUTU),10,Rubin,3,Government of Burundi,516,1998,1998,2003,,Dyad 11,0,NA,,,,,,,
14,Burundi,CNDD-FDD,Rebels,5,Rubin,3,Government of Burundi,516,1998,1998,2003,,,0,NA,,,,,,,
14,Burundi,CNDD-FDD,Tutsi,12,Rubin,3,Government of Burundi,516,1998,1998,2003,,,0,NA,,,,,,,
14,Burundi,CNDD-FDD,Unknown,13,Rubin,3,Government of Burundi,516,1998,1998,2003,,,0,NA,,,,,,,
15,Burundi,Palipehutu-FNL,Forces for the Defense of Democracy (FDD),10,Rubin,3,Government of Burundi,516,1997,1997,2008,ucdp,Dyad 14,0,NA,,,,,,,
15,Burundi,Palipehutu-FNL,Hutus,5,Rubin,3,Government of Burundi,516,1997,1997,2008,ucdp,,0,NA,,,,,,,
15,Burundi,Palipehutu-FNL,Lord's Resistance Army (LRA),10,Rubin,3,Government of Burundi,516,1997,1997,2008,ucdp,Dyad 151,0,NA,,,,,,,
15,Burundi,Palipehutu-FNL,Militia Members,5,Rubin,3,Government of Burundi,516,1997,1997,2008,,,0,NA,,,,,,,
15,Burundi,Palipehutu-FNL,National Council for Defense of Democracy (NCDD),10,Rubin,3,Government of Burundi,516,1997,1997,2008,ucdp,Dyad 14,0,NA,,,,,,,
